# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
1, 1640, 818, 441, 771, 358, 466, 937, 357, 441, 413, 441, 357
2, 708, 353, 204, 334, 163, 225, 395, 163, 192, 187, 192, 163
3, 33256, 16574, 8314, 15591, 3097, 6240, 19630, 4234, 2460, 2587, 2460, 2587
4, 1004, 501, 289, 473, 244, 287, 607, 244, 303, 280, 289, 244
5, 5300, 2645, 1330, 2487, 900, 1329, 3174, 925, 1108, 1087, 1108, 925
6, 588, 291, 185, 278, 161, 170, 346, 160, 203, 183, 185, 160
7, 572, 285, 174, 270, 150, 201, 352, 150, 189, 174, 174, 150
8, 1252, 621, 343, 589, 286, 395, 746, 286, 351, 331, 343, 286
9, 2656, 1324, 690, 1247, 542, 668, 1572, 549, 693, 649, 690, 549
10, 252, 126, 91, 120, 78, 91, 153, 78, 97, 89, 91, 78
11, 10040, 5001, 2515, 4708, 1428, 2514, 5993, 1532, 1696, 1668, 1696, 1532
12, 360, 179, 113, 171, 95, 128, 217, 95, 115, 111, 113, 95
13, 7572, 3737, 1898, 3552, 1163, 1661, 4487, 1235, 1415, 1371, 1415, 1235
14, 956, 475, 275, 450, 246, 273, 575, 246, 302, 285, 275, 246
15, 136, 68, 53, 66, 48, 51, 83, 50, 57, 55, 53, 50
16, 3124, 1555, 795, 1467, 632, 785, 1861, 633, 774, 746, 774, 633
17, 1876, 932, 503, 882, 384, 473, 1128, 389, 449, 422, 449, 389
18, 6584, 3267, 1651, 3088, 1078, 1445, 3862, 1120, 1377, 1324, 1377, 1120
19, 9048, 4512, 2265, 4243, 1338, 1984, 5280, 1432, 1607, 1553, 1607, 1432
20, 4084, 2034, 1026, 1917, 786, 1025, 2416, 786, 993, 951, 993, 786
21, 3860, 1925, 971, 1812, 730, 849, 2297, 739, 902, 863, 902, 739
22, 2512, 1251, 645, 1180, 532, 632, 1497, 532, 657, 634, 645, 532
23, 2272, 1131, 585, 1067, 502, 572, 1347, 501, 606, 590, 585, 501
24, 1892, 944, 498, 889, 419, 477, 1128, 419, 499, 472, 498, 419
25, 1984, 988, 518, 932, 438, 500, 1184, 438, 532, 516, 518, 438
26, 1264, 630, 345, 595, 322, 320, 749, 322, 393, 372, 345, 322
27, 1908, 952, 502, 897, 433, 481, 1124, 432, 523, 508, 502, 432
28, 1072, 534, 302, 505, 284, 272, 630, 284, 347, 326, 302, 284
29, 2656, 1327, 681, 1247, 529, 751, 1608, 538, 667, 626, 667, 538
30, 276, 138, 88, 132, 77, 99, 167, 77, 91, 91, 88, 77
31, 1436, 717, 399, 675, 322, 363, 829, 322, 398, 369, 398, 322
32, 5092, 2539, 1287, 2389, 839, 1118, 2933, 866, 1049, 1012, 1049, 866
33, 252, 126, 86, 120, 79, 83, 147, 80, 97, 89, 86, 80
34, 228, 114, 82, 109, 72, 75, 140, 75, 89, 81, 82, 75
35, 276, 137, 99, 132, 90, 90, 158, 91, 107, 102, 99, 91
36, 7484, 3726, 1873, 3510, 1128, 1642, 4451, 1215, 1337, 1294, 1337, 1215
37, 2736, 1360, 698, 1285, 567, 688, 1612, 571, 692, 672, 692, 571
38, 9688, 4833, 2422, 4543, 1343, 1821, 5605, 1475, 1514, 1480, 1514, 1475
39, 3408, 1694, 863, 1600, 651, 856, 2019, 664, 801, 766, 801, 664
40, 2440, 1213, 627, 1146, 503, 691, 1422, 508, 594, 573, 594, 508
41, 4456, 2218, 1124, 2091, 760, 1118, 2620, 795, 892, 860, 892, 795
42, 2476, 1234, 647, 1163, 478, 623, 1421, 489, 578, 548, 578, 489
43, 1940, 962, 510, 912, 423, 550, 1158, 422, 513, 492, 510, 422
44, 7464, 3717, 1869, 3501, 1145, 1637, 4400, 1213, 1371, 1334, 1371, 1213
45, 528, 263, 165, 250, 145, 169, 320, 144, 182, 164, 165, 144
46, 972, 483, 282, 458, 244, 278, 578, 243, 312, 279, 282, 243
